seq,road_id,edges,road_no,partition
0,1,[1],6,0
1,2,"[2, 2]",8,0
2,3,[3],9,0
3,4,[4],2,0
4,5,[5],4,0
5,6,[6],12,1
6,7,[7],4,1
7,8,[8],6,1
8,9,[9],8,1
9,10,"[10, 10]",2,1
10,11,[11],10,1
11,12,[12],8,0
12,13,[13],9,0
13,14,[14],9,0
14,15,[15],6,0
15,16,[16],4,0
16,17,"[17, 17]",1,0
17,18,[18],2,0
18,19,[19],1,0
19,20,[20],8,0
20,21,[21],1,0
21,22,[22],10,1
22,23,"[23, 23]",1,1
23,24,[24],1,1
24,25,[25],2,1
25,26,[26],1,1
26,27,[27],8,1
27,28,[28],1,1
28,29,[29],6,0
29,30,[30],1,0
30,31,[31],6,1
31,32,[32],1,1
32,33,[33],4,1
33,34,[34],1,1
34,35,[35],4,0
35,36,[36],3,0
36,37,[37],12,1
37,38,[38],2,0
38,39,[39],3,0
39,40,[40],8,0
40,41,[41],3,0
41,42,[42],6,0
42,43,[43],3,0
43,44,"[44, 44]",14,1
44,45,"[45, 45]",7,0
45,46,"[46, 46]",2,2
46,47,[47],7,0
47,48,[48],8,0
48,49,[49],7,0
49,50,[50],6,0
50,51,[51],7,0
51,52,[52],14,1
52,53,[53],13,1
53,54,[54],2,2
54,55,[55],5,0
55,56,[56],8,0
56,57,[57],5,0
57,58,[58],5,1
58,59,[59],2,1
59,60,[60],5,1
60,61,[61],8,1
61,62,[62],5,1
62,63,[63],6,0
63,64,[64],5,0
64,65,[65],6,1
65,66,[66],5,1
66,67,[67],4,1
67,68,[68],5,1
68,69,"[69, 69]",18,1
69,70,[70],5,1
70,71,[71],12,1
71,72,[72],5,1
72,73,[73],5,1
73,74,"[74, 74]",16,1
74,75,"[75, 75]",4,2
75,76,[76],5,1
76,77,[77],2,2
77,78,[78],17,0
78,79,[79],8,0
79,80,[80],17,0
80,81,[81],6,0
81,82,[82],17,0
82,83,[83],4,2
83,84,"[84, 84]",13,2
84,85,[85],2,2
85,86,"[86, 86]",13,2
86,87,"[87, 87]",6,2
87,88,[88],15,0
88,89,[89],6,0
89,90,[90],15,0
90,91,[91],4,2
91,92,[92],5,2
92,93,[93],2,2
93,94,[94],5,2
94,95,"[95, 95]",12,3
95,96,[96],3,1
96,97,[97],3,1
97,98,"[98, 98]",4,3
98,99,[99],3,1
99,100,[100],6,2
100,101,"[101, 101]",5,2
101,102,[102],3,1
102,103,[103],4,1
103,104,[104],3,1
104,105,[105],3,1
105,106,[106],6,0
106,107,[107],13,0
107,108,[108],3,1
108,109,"[109, 109]",2,3
109,110,[110],4,2
110,111,"[111, 111]",1,2
111,112,[112],2,2
112,113,[113],1,2
113,114,[114],6,2
114,115,"[115, 115]",1,2
115,116,[116],4,1
116,117,[117],11,1
117,118,"[118, 118]",8,2
118,119,[119],11,0
119,120,[120],2,3
120,121,[121],4,2
121,122,"[122, 122]",3,2
122,123,[123],2,2
123,124,[124],3,2
124,125,[125],6,2
125,126,[126],3,2
126,127,[127],4,1
127,128,[128],9,1
128,129,[129],8,2
129,130,[130],3,2
130,131,[131],2,3
131,132,[132],4,2
132,133,"[133, 133]",11,2
133,134,[134],7,3
134,135,[135],2,2
135,136,[136],11,2
136,137,[137],12,3
137,138,[138],7,3
138,139,[139],4,3
139,140,[140],7,3
140,141,[141],6,2
141,142,[142],11,2
142,143,"[143, 143]",6,3
143,144,"[144, 144]",7,3
144,145,"[145, 145]",8,3
145,146,[146],7,1
146,147,[147],8,2
147,148,[148],11,2
148,149,[149],2,3
149,150,[150],4,2
150,151,"[151, 151]",9,2
151,152,[152],2,2
152,153,[153],9,2
153,154,[154],4,3
154,155,"[155, 155]",3,3
155,156,[156],6,2
156,157,[157],9,2
157,158,[158],6,3
158,159,[159],8,2
159,160,[160],9,2
160,161,[161],12,3
161,162,"[162, 162]",10,3
162,163,[163],4,2
163,164,"[164, 164]",7,2
164,165,[165],2,2
165,166,[166],7,2
166,167,[167],6,2
167,168,[168],7,2
168,169,[169],8,3
169,170,"[170, 170]",5,3
170,171,[171],8,2
171,172,[172],7,2
172,173,[173],2,3
173,174,[174],4,2
174,175,[175],15,2
175,176,[176],2,2
176,177,[177],15,2
177,178,[178],1,3
178,179,"[179, 179]",14,3
179,180,[180],1,3
180,181,[181],1,3
181,182,[182],6,2
182,183,[183],15,2
183,184,[184],1,3
184,185,[185],8,3
185,186,[186],1,3
186,187,[187],8,2
187,188,[188],15,2
188,189,"[189, 189]",10,2
189,190,[190],2,3
190,191,"[191, 191]",1,3
191,192,[192],4,2
192,193,[193],17,2
