seq,road_id,edges,road_no
0,1,[1],50
1,2,[2],54
2,3,[3],73
3,4,[4],56
4,5,[5],58
5,6,[6],136
6,7,[7],142
7,8,[8],124
8,9,[9],126
9,10,[10],120
10,11,[11],116
11,12,[12],52
12,13,[],145
13,14,[14],71
14,15,[15],48
15,16,[16],46
16,17,[17],63
17,18,[],146
18,19,[19],65
19,20,[],147
20,21,[21],67
21,22,[22],114
22,23,[23],101
23,24,[],148
24,25,[25],118
25,26,[],149
26,27,[27],122
27,28,[28],103
28,29,[],150
29,30,[30],69
30,31,[],151
31,32,[],152
32,33,[33],2
33,34,[],153
34,35,[35],44
35,36,[],154
36,37,[37],134
37,38,[38],60
38,39,[],155
39,40,[40],62
40,41,[],156
41,42,[42],64
42,43,[43],75
43,44,[],157
44,45,[45],61
45,46,[],158
46,47,[47],59
47,48,[],159
48,49,[49],57
49,50,[50],42
50,51,[51],55
51,52,[52],70
52,53,[],160
53,54,[54],68
54,55,[],161
55,56,[56],66
56,57,[],162
57,58,[58],99
58,59,[],163
59,60,[60],97
60,61,[61],112
61,62,[],164
62,63,[63],40
63,64,[64],53
64,65,[],165
65,66,[66],119
66,67,[67],140
67,68,[68],1
68,69,[69],138
69,70,[70],3
70,71,[],166
71,72,[72],117
72,73,[],167
73,74,[74],4
74,75,[75],38
75,76,[76],45
76,77,[],168
77,78,[78],47
78,79,[],169
79,80,[80],49
80,81,[],170
81,82,[82],51
82,83,[83],36
83,84,[],171
84,85,[85],72
85,86,[],172
86,87,[87],74
87,88,[],173
88,89,[89],76
89,90,[90],77
90,91,[],174
91,92,[92],43
92,93,[],175
93,94,[94],41
94,95,[95],128
95,96,[96],107
96,97,[],176
97,98,[98],110
98,99,[99],95
99,100,[],177
100,101,[101],39
101,102,[],178
102,103,[],179
103,104,[],180
104,105,[],181
105,106,[106],34
106,107,[107],37
107,108,[108],5
108,109,[109],6
109,110,[110],82
110,111,[],182
111,112,[112],80
112,113,[],183
113,114,[114],78
114,115,[],184
115,116,[],185
116,117,[117],115
117,118,[118],32
118,119,[119],35
119,120,[120],8
120,121,[121],30
121,122,[122],27
122,123,[],186
123,124,[124],29
124,125,[],187
125,126,[126],31
126,127,[],188
127,128,[128],113
128,129,[],189
129,130,[130],33
130,131,[131],10
131,132,[132],28
132,133,[],190
133,134,[134],105
134,135,[135],84
135,136,[],191
136,137,[137],108
137,138,[138],91
138,139,[],192
139,140,[140],93
140,141,[141],86
141,142,[],193
142,143,[],194
143,144,[],195
144,145,[],196
145,146,[146],111
146,147,[147],88
147,148,[148],79
148,149,[149],12
149,150,[150],26
150,151,[151],25
151,152,[],197
152,153,[153],23
153,154,[154],130
154,155,[],198
155,156,[],199
156,157,[157],21
157,158,[158],132
158,159,[159],24
159,160,[160],19
160,161,[161],106
161,162,[],200
162,163,[],201
163,164,[],202
164,165,[165],94
165,166,[],203
166,167,[167],92
167,168,[],204
168,169,[],205
169,170,[170],109
170,171,[171],22
171,172,[172],17
172,173,[173],14
173,174,[174],98
174,175,[],206
175,176,[176],16
176,177,[177],11
177,178,[178],89
178,179,[179],104
179,180,[180],87
180,181,[181],85
181,182,[182],90
182,183,[183],13
183,184,[184],83
184,185,[185],102
185,186,[186],81
186,187,[187],20
187,188,[188],15
188,189,[189],18
189,190,[190],100
190,191,[191],7
191,192,[192],96
192,193,[193],9
