seq,road_id,edges,road_no
0,144,[144.0],28
1,11,[11.0],38
2,340,[],145
3,14,[14.0],6
4,15,[15.0],18
5,16,[16.0],20
6,17,[17.0],22
7,18,[18.0],46
8,19,[19.0],62
9,20,[20.0],80
10,25,[25.0],3
11,26,[26.0],14
12,30,[30.0],1
13,31,[31.0],8
14,32,[32.0],10
15,36,[],146
16,37,[37.0],5
17,38,[38.0],4
18,39,[39.0],2
19,51,[51.0],13
20,52,[52.0],24
21,53,[53.0],17
22,54,[54.0],34
23,55,[55.0],27
24,56,[56.0],39
25,57,[],147
26,59,[59.0],29
27,60,[],148
28,63,[],149
29,68,[68.0],45
30,69,[],150
31,72,[72.0],15
32,73,[73.0],40
33,81,[],151
34,82,[82.0],30
35,85,[],152
36,92,[92.0],11
37,93,[93.0],16
38,97,[97.0],7
39,98,[98.0],9
40,211,[211.0],82
41,99,[99.0],12
42,103,[103.0],48
43,111,[111.0],26
44,112,[112.0],35
45,123,[123.0],64
46,124,[],153
47,125,[125.0],54
48,133,[],154
49,134,[134.0],42
50,138,[],155
51,139,[139.0],32
52,145,[145.0],23
53,146,[],156
54,147,[],157
55,148,[148.0],19
56,149,[],158
57,151,[151.0],21
58,152,[152.0],36
59,153,[],159
60,154,[154.0],72
61,160,[160.0],31
62,161,[161.0],50
63,162,[],160
64,163,[163.0],56
65,165,[165.0],25
66,166,[166.0],44
67,175,[175.0],58
68,178,[178.0],41
69,179,[179.0],66
70,191,[191.0],33
71,192,[192.0],52
72,196,[],161
73,197,[],162
74,200,[200.0],68
75,209,[209.0],53
76,218,[],163
77,219,[219.0],88
78,221,[],164
79,222,[222.0],74
80,232,[232.0],37
81,233,[233.0],60
82,236,[236.0],55
83,237,[237.0],96
84,238,[238.0],43
85,239,[],165
86,240,[],166
87,241,[241.0],76
88,252,[],167
89,253,[253.0],70
90,259,[259.0],47
91,260,[260.0],84
92,268,[],168
93,269,[],169
94,270,[270.0],67
95,271,[271.0],112
96,286,[],170
97,287,[287.0],98
98,290,[290.0],61
99,294,[294.0],79
100,295,[],171
101,298,[],172
102,299,[299.0],106
103,303,[],173
104,304,[304.0],90
105,305,[305.0],69
106,306,[],174
107,309,[],175
108,310,[310.0],78
109,311,[311.0],63
110,312,[312.0],92
111,313,[],176
112,314,[],177
113,317,[317.0],49
114,318,[318.0],100
115,321,[321.0],51
116,322,[322.0],86
117,324,[324.0],57
118,325,[325.0],102
119,330,[330.0],71
120,331,[],178
121,332,[332.0],124
122,338,[338.0],73
123,343,[343.0],59
124,344,[344.0],104
125,346,[346.0],116
126,349,[],179
127,350,[350.0],120
128,351,[],180
129,352,[352.0],108
130,355,[355.0],94
131,361,[361.0],65
132,362,[],181
133,363,[363.0],110
134,369,[],182
135,370,[370.0],114
136,373,[],183
137,374,[374.0],118
138,380,[],184
139,381,[381.0],126
140,385,[385.0],85
141,388,[388.0],91
142,389,[389.0],130
143,390,[],185
144,510,[510.0],142
145,391,[391.0],95
146,422,[422.0],87
147,426,[426.0],75
148,427,[],186
149,429,[429.0],77
150,441,[441.0],89
151,444,[444.0],81
152,447,[447.0],134
153,448,[],187
154,449,[],188
155,450,[450.0],138
156,452,[],189
157,459,[],190
158,460,[460.0],122
159,464,[464.0],101
160,465,[],191
161,473,[473.0],83
162,474,[474.0],128
163,480,[480.0],93
164,481,[481.0],132
165,499,[499.0],97
166,500,[500.0],136
167,503,[503.0],140
168,504,[504.0],99
169,509,[509.0],103
